主播昵称,用户id,直播分类,房间名,直播热度,直播间地址,主播图片地址
安徽chovy,453801107,英雄联盟,练习上单两年半,239496,https://www.douyu.com/10884998,https://rpic.douyucdn.cn/asrpic/220818/10884998_1701.png/webpdy2
小马尾OnO,2579741,英雄联盟,云顶马冬霉！嚎哭深渊每局送！,235779,https://www.douyu.com/79606,https://rpic.douyucdn.cn/asrpic/220818/79606_1704.png/webpdy2
最初的可可,59608732,英雄联盟,黑色玫瑰乱斗组排呀,234685,https://www.douyu.com/6084152,https://rpic.douyucdn.cn/asrpic/220818/6084152_1705.png/webpdy2
迷离之道丶,24637117,英雄联盟,迷离劫：善语结善缘，恶语伤人心,230471,https://www.douyu.com/514974,https://rpic.douyucdn.cn/asrpic/220818/514974_1704.png/webpdy2
浩钦诺手,12815368,英雄联盟,宇宙最强诺手教学,217931,https://www.douyu.com/561155,https://rpic.douyucdn.cn/asrpic/220818/561155_1704.png/webpdy2
舟老师丶,526822,英雄联盟,舟：学打野，里面请！,211387,https://www.douyu.com/39300,https://rpic.douyucdn.cn/asrpic/220818/39300_1704.png/webpdy2
林思瑶丶,207823520,英雄联盟,电一甜妹邀你一起上分~,210434,https://www.douyu.com/9376674,https://rpic.douyucdn.cn/asrpic/220818/9376674_0411.png/webpdy2
小夕ADC,440188318,英雄联盟,峡谷奇遇记 把把吸,209851,https://www.douyu.com/10613418,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-02-24_6182c2bb17290fa83fc5adc68c942155.jpg/webpdy2
是你的顾璃吗,428117325,英雄联盟,艾欧尼亚.御姐音灵活车队~,205659,https://www.douyu.com/10806647,https://rpic.douyucdn.cn/asrpic/220818/10806647_1700.png/webpdy2
一只theshy酱,331981455,英雄联盟,有车位，练莎弥拉的第一天~,204889,https://www.douyu.com/8509691,https://rpic.douyucdn.cn/asrpic/220818/8509691_1706.png/webpdy2
秧苗OoO,146746359,英雄联盟,♡有车位♡⌓‿⌓很高兴认识你！,202027,https://www.douyu.com/2425826,https://rpic.douyucdn.cn/asrpic/220818/2425826_1705.png/webpdy2
慕溪o,198030710,英雄联盟,电一：温柔御姐有车位！~,198938,https://www.douyu.com/4873644,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-08-17_6732a91f2d866005d84c608e3c4c7627.jpg/webpdy2
小可爱颜baby,101010015,英雄联盟,♡ 颜baby：简简单单玩~~~~~,195570,https://www.douyu.com/4055373,https://rpic.douyucdn.cn/asrpic/220818/4055373_1705.png/webpdy2
凡妹真的很能C,398142000,英雄联盟,免费打号！ 电一全天车位！,191813,https://www.douyu.com/9563591,https://rpic.douyucdn.cn/asrpic/220818/9563591_1659.png/webpdy2
小景呀ovo,377008022,英雄联盟,不想把时间都浪费在队列时间上,190986,https://www.douyu.com/9122891,https://rpic.douyucdn.cn/asrpic/220818/9122891_1706.png/webpdy2
波波卡特ovo,256983225,英雄联盟,王者卡特教学乱杀细节,190545,https://www.douyu.com/6317186,https://rpic.douyucdn.cn/asrpic/220818/6317186_1705.png/webpdy2
珍珠奶兔OvO,446537664,英雄联盟,特辣 微辣 我不想丸辣！！！,190050,https://www.douyu.com/10967465,https://rpic.douyucdn.cn/asrpic/220818/10967465_1701.png/webpdy2
